event,edate,start_time,end_time
38,2023-06-09,14:00:00,15:30:00
39,2023-02-26,15:30:00,17:30:00
40,2023-03-01,18:00:00,19:00:00
41,2023-03-03,10:00:00,12:00:00
42,2023-05-19,10:00:00,11:00:00
42,2023-04-21,10:00:00,11:00:00
42,2023-06-16,10:00:00,11:00:00
42,2023-03-24,10:00:00,11:00:00
43,2023-06-20,13:00:00,15:00:00
44,2023-05-26,10:30:00,12:00:00
45,2023-06-02,14:00:00,15:30:00
45,2023-05-26,14:00:00,15:30:00
45,2023-05-19,14:00:00,15:30:00
45,2023-04-21,14:00:00,15:30:00
45,2023-04-14,14:00:00,15:30:00
45,2023-04-07,14:00:00,15:30:00
45,2023-03-31,14:00:00,15:30:00
45,2023-03-24,14:00:00,15:30:00
45,2023-03-17,14:00:00,15:30:00
45,2023-03-10,14:00:00,15:30:00
45,2023-03-03,14:00:00,15:30:00
45,2023-06-09,14:00:00,15:30:00
45,2023-06-16,14:00:00,15:30:00
45,2023-05-12,14:00:00,15:30:00
45,2023-05-05,14:00:00,15:30:00
45,2023-04-28,14:00:00,15:30:00
46,2023-02-27,15:30:00,16:30:00
47,2023-03-27,18:00:00,19:00:00
48,2023-03-24,14:00:00,15:00:00
49,2023-03-24,10:00:00,11:00:00
50,2023-03-23,16:00:00,17:00:00
51,2023-03-22,18:00:00,19:00:00
52,2023-03-21,16:00:00,17:00:00
53,2023-03-20,18:00:00,19:00:00
54,2023-03-13,18:00:00,19:00:00
55,2023-03-10,14:00:00,15:00:00
56,2023-03-09,16:00:00,17:00:00
57,2023-03-08,18:00:00,19:00:00
58,2023-03-07,16:00:00,17:00:00
59,2023-03-02,16:00:00,17:00:00
60,2023-03-10,10:00:00,11:00:00
61,2023-03-16,14:00:00,15:00:00
62,2023-03-01,19:00:00,20:00:00
63,2023-03-15,14:00:00,15:00:00
64,2023-03-14,14:00:00,15:00:00
65,2023-03-12,14:00:00,15:00:00
66,2023-04-02,18:00:00,20:15:00
66,2023-04-16,18:00:00,20:15:00
66,2023-04-23,18:00:00,20:15:00
66,2023-04-30,18:00:00,20:15:00
66,2023-05-07,18:00:00,20:15:00
66,2023-03-05,18:00:00,20:15:00
66,2023-03-12,18:00:00,20:15:00
66,2023-03-19,18:00:00,20:15:00
66,2023-03-26,18:00:00,20:15:00
66,2023-04-09,18:00:00,20:15:00
67,2023-03-02,16:00:00,17:30:00
68,2023-03-20,18:00:00,19:30:00
68,2023-04-24,18:00:00,19:30:00
68,2023-04-17,18:00:00,19:30:00
68,2023-04-10,18:00:00,19:30:00
68,2023-04-03,18:00:00,19:30:00
68,2023-03-27,18:00:00,19:30:00
68,2023-03-13,18:00:00,19:30:00
68,2023-03-06,18:00:00,19:30:00
68,2023-02-27,18:00:00,19:30:00
69,2023-05-24,16:00:00,17:00:00
69,2023-06-14,16:00:00,17:00:00
69,2023-03-01,16:00:00,17:00:00
69,2023-03-08,16:00:00,17:00:00
69,2023-06-07,16:00:00,17:00:00
69,2023-03-15,16:00:00,17:00:00
69,2023-03-22,16:00:00,17:00:00
69,2023-03-29,16:00:00,17:00:00
69,2023-04-05,16:00:00,17:00:00
69,2023-04-12,16:00:00,17:00:00
69,2023-05-31,16:00:00,17:00:00
69,2023-04-19,16:00:00,17:00:00
69,2023-04-26,16:00:00,17:00:00
69,2023-05-03,16:00:00,17:00:00
69,2023-05-10,16:00:00,17:00:00
69,2023-05-17,16:00:00,17:00:00
70,2023-03-17,11:00:00,12:00:00
70,2023-04-21,11:00:00,12:00:00
70,2023-06-16,11:00:00,12:00:00
70,2023-05-19,11:00:00,12:00:00
71,2023-03-13,14:00:00,15:00:00
72,2023-06-01,10:30:00,11:15:00
72,2023-03-02,10:30:00,11:15:00
72,2023-03-09,10:30:00,11:15:00
72,2023-03-16,10:30:00,11:15:00
72,2023-03-23,10:30:00,11:15:00
72,2023-03-30,10:30:00,11:15:00
72,2023-04-06,10:30:00,11:15:00
72,2023-04-13,10:30:00,11:15:00
72,2023-04-20,10:30:00,11:15:00
72,2023-04-27,10:30:00,11:15:00
72,2023-05-04,10:30:00,11:15:00
72,2023-05-11,10:30:00,11:15:00
72,2023-05-18,10:30:00,11:15:00
72,2023-05-25,10:30:00,11:15:00
72,2023-06-08,10:30:00,11:15:00
72,2023-06-15,10:30:00,11:15:00
72,2023-06-22,10:30:00,11:15:00
73,2023-02-27,16:00:00,17:00:00
74,2023-02-28,16:00:00,17:30:00
74,2023-03-28,16:00:00,17:30:00
74,2023-03-14,16:00:00,17:30:00
75,2023-04-13,10:00:00,12:00:00
75,2023-05-18,10:00:00,12:00:00
75,2023-04-20,10:00:00,12:00:00
75,2023-05-11,10:00:00,12:00:00
75,2023-04-27,10:00:00,12:00:00
75,2023-05-04,10:00:00,12:00:00
76,2023-03-17,14:00:00,15:30:00
77,2023-06-16,12:00:00,16:00:00
78,2023-03-13,14:00:00,15:00:00
79,2023-03-14,14:00:00,15:00:00
80,2023-03-16,14:00:00,15:00:00
81,2023-03-17,14:00:00,16:00:00
82,2023-02-28,10:30:00,11:00:00
82,2023-03-07,10:30:00,11:00:00
83,2023-03-21,16:00:00,17:00:00
83,2023-04-11,16:00:00,17:00:00
83,2023-05-16,16:00:00,17:00:00
83,2023-06-20,16:00:00,17:00:00
84,2023-05-03,13:30:00,14:30:00
85,2023-03-16,10:00:00,11:30:00
85,2023-03-02,10:00:00,11:30:00
85,2023-03-09,10:00:00,11:30:00
85,2023-03-23,10:00:00,11:30:00
86,2023-04-13,10:00:00,11:30:00
86,2023-05-18,10:00:00,11:30:00
86,2023-05-11,10:00:00,11:30:00
86,2023-04-06,10:00:00,11:30:00
86,2023-05-04,10:00:00,11:30:00
86,2023-05-25,10:00:00,11:30:00
86,2023-04-27,10:00:00,11:30:00
86,2023-04-20,10:00:00,11:30:00
87,2023-03-15,14:00:00,15:00:00
88,2023-05-17,19:00:00,20:00:00
88,2023-03-15,19:00:00,20:00:00
89,2023-03-16,14:00:00,15:00:00
90,2023-03-15,14:00:00,15:00:00
91,2023-03-14,14:00:00,15:00:00
92,2023-04-11,13:00:00,14:00:00
93,2023-03-08,10:30:00,12:30:00
93,2023-04-05,10:30:00,12:30:00
93,2023-04-12,10:30:00,12:30:00
93,2023-04-19,10:30:00,12:30:00
93,2023-04-26,10:30:00,12:30:00
93,2023-05-03,10:30:00,12:30:00
93,2023-05-10,10:30:00,12:30:00
93,2023-05-17,10:30:00,12:30:00
93,2023-05-31,10:30:00,12:30:00
93,2023-05-24,10:30:00,12:30:00
93,2023-03-01,10:30:00,12:30:00
93,2023-03-15,10:30:00,12:30:00
93,2023-03-22,10:30:00,12:30:00
93,2023-03-29,10:30:00,12:30:00
94,2023-03-13,14:00:00,15:00:00
95,2023-04-27,14:00:00,15:30:00
95,2023-05-25,14:00:00,15:30:00
95,2023-03-23,14:00:00,15:30:00
96,2023-03-06,16:00:00,18:00:00
97,2023-03-16,14:00:00,15:00:00
98,2023-03-22,16:00:00,17:30:00
98,2023-04-05,16:00:00,17:30:00
98,2023-04-10,16:00:00,17:30:00
98,2023-03-08,16:00:00,17:30:00
98,2023-03-20,16:00:00,17:30:00
98,2023-03-13,16:00:00,17:30:00
98,2023-03-27,16:00:00,17:30:00
98,2023-05-03,16:00:00,17:30:00
98,2023-05-01,16:00:00,17:30:00
98,2023-04-26,16:00:00,17:30:00
98,2023-04-24,16:00:00,17:30:00
98,2023-04-19,16:00:00,17:30:00
98,2023-03-15,16:00:00,17:30:00
98,2023-04-03,16:00:00,17:30:00
98,2023-03-29,16:00:00,17:30:00
98,2023-04-17,16:00:00,17:30:00
98,2023-02-27,16:00:00,17:30:00
98,2023-03-01,16:00:00,17:30:00
98,2023-03-06,16:00:00,17:30:00
98,2023-04-12,16:00:00,17:30:00
99,2023-03-15,14:00:00,15:00:00
100,2023-03-14,14:00:00,16:00:00
