checkout,return_time
123,2022-10-23 17:00:00
124,2022-04-12 17:00:00
125,2022-09-06 11:00:00
126,2023-04-07 19:30:00
127,2022-09-18 19:00:00
128,2022-03-21 19:00:00
129,2022-02-22 19:00:00
130,2023-05-20 19:30:00
131,2022-01-01 19:30:00
132,2022-07-13 16:00:00
133,2022-11-07 19:00:00
134,2021-10-26 19:00:00
135,2022-10-26 16:00:00
136,2022-09-23 19:00:00
137,2021-11-17 16:00:00
138,2023-07-10 17:00:00
139,2022-05-22 17:00:00
140,2021-11-21 17:00:00
141,2021-12-08 16:00:00
142,2023-07-04 16:00:00
143,2021-07-30 19:00:00
144,2021-12-11 19:00:00
145,2022-08-28 19:30:00
146,2022-06-21 17:00:00
147,2022-05-17 16:00:00
148,2022-08-21 19:00:00
149,2022-05-19 16:30:00
150,2022-02-19 19:30:00
151,2022-10-14 19:00:00
152,2022-07-03 17:00:00
153,2022-10-25 17:00:00
154,2022-10-05 16:00:00
155,2023-03-03 13:30:00
156,2021-11-06 19:00:00
157,2023-01-06 19:00:00
158,2021-11-03 16:00:00
159,2022-04-20 16:00:00
160,2022-02-15 19:00:00
161,2022-12-18 19:00:00
162,2022-02-02 16:00:00
163,2022-06-18 19:30:00
164,2022-04-17 19:00:00
165,2022-04-02 19:00:00
166,2022-12-17 19:00:00
167,2021-11-21 19:00:00
168,2022-04-27 16:00:00
169,2021-10-23 19:00:00
170,2021-07-21 16:00:00
171,2022-11-23 16:00:00
172,2022-04-15 19:00:00
173,2021-08-18 16:00:00
174,2021-10-22 19:00:00
175,2021-10-09 19:00:00
176,2021-10-30 19:00:00
177,2022-10-29 19:00:00
178,2022-04-14 14:30:00
179,2023-04-25 16:00:00
180,2022-01-07 19:00:00
181,2023-04-11 16:00:00
182,2023-05-21 19:00:00
183,2022-02-07 19:00:00
184,2022-07-01 19:00:00
185,2022-01-01 19:00:00
186,2022-05-09 19:00:00
187,2022-02-01 19:00:00
188,2022-08-06 19:00:00
189,2022-12-01 14:30:00
190,2021-11-25 16:30:00
191,2022-08-16 19:00:00
192,2021-09-23 16:30:00
193,2023-02-23 16:30:00
194,2022-01-14 19:00:00
195,2023-01-21 19:00:00
196,2022-11-18 19:00:00
197,2023-01-02 19:00:00
198,2022-12-24 19:00:00
199,2023-07-21 19:00:00
200,2022-06-25 19:00:00
201,2023-01-17 19:00:00
202,2022-08-09 19:00:00
203,2023-06-11 19:00:00
204,2022-08-23 19:00:00
205,2022-05-04 16:00:00
206,2022-10-25 19:00:00
207,2023-03-07 16:00:00
208,2021-09-07 19:00:00
209,2022-12-30 19:00:00
210,2022-05-21 19:00:00
211,2022-12-09 19:00:00
212,2022-10-25 19:00:00
213,2022-04-26 19:00:00
214,2022-10-27 16:30:00
215,2022-03-11 19:00:00
216,2021-08-29 19:00:00
217,2022-08-06 19:00:00
218,2021-10-21 16:30:00
219,2022-08-18 16:30:00
220,2022-09-02 19:00:00
221,2021-07-13 19:00:00
222,2022-02-12 19:00:00
223,2022-02-28 19:00:00
224,2023-06-17 19:00:00
225,2021-12-14 19:00:00
226,2022-08-29 19:00:00
227,2021-12-11 19:00:00
228,2023-02-14 19:00:00
229,2023-01-17 19:00:00
230,2022-12-15 16:30:00
231,2023-07-16 19:00:00
232,2022-07-14 16:30:00
233,2022-09-26 19:00:00
234,2021-08-16 19:00:00
235,2021-08-28 19:00:00
236,2023-06-26 19:00:00
237,2023-01-30 19:00:00
238,2022-09-14 16:00:00
239,2023-07-06 19:00:00
240,2022-02-19 19:00:00
241,2023-02-17 19:00:00
242,2021-07-30 19:00:00
243,2022-11-08 19:00:00
244,2022-08-26 19:00:00
245,2022-04-06 16:00:00
246,2022-02-19 19:00:00
247,2022-03-17 16:30:00
248,2022-08-19 19:00:00
249,2022-05-10 19:00:00
250,2022-11-02 16:00:00
251,2021-09-11 19:30:00
252,2022-11-12 17:00:00
253,2023-02-26 19:00:00
254,2021-11-14 19:00:00
255,2023-06-25 19:00:00
256,2022-12-16 19:00:00
257,2021-09-19 19:00:00
